,회사명,항목명,항목코드,당기
1105,DMS,관계기업투자,entity00361594_udf_BS_2017119203112612_NoncurrentAssets,5940790000.0
10611,금호산업,관계기업투자,entity00106313_udf_BS_20171114104354589_NoncurrentAssets,31746107000.0
46263,에코바이오,관계기업투자,entity00287812_udf_BS_2017111211214126_NoncurrentAssets,923596900.0
31993,삼화콘덴서공업,관계기업투자,entity00129350_udf_BS_2019325103733887_NoncurrentAssets,1394351500.0
45547,에이치엔티,관계기업투자,entity00872452_udf_BS_202032391953316_NoncurrentAssets,40396198000.0
77340,한섬,관계기업투자,entity00188089_udf_BS_2020325111038679_NoncurrentAssets,
48318,엠케이전자,관계기업투자,entity00121686_udf_BS_20184285616334_udf_BS_20171113171737234_AssetsAbstract,199167020000.0
29361,비트컴퓨터,관계기업투자,entity00231707_udf_BS_20188101615562_NoncurrentAssets,3736535000.0
30509,삼성전기,관계기업투자,entity00126371_udf_BS_20171026203626264_NoncurrentAssets,68259880000.0
61516,젬백스,관계기업투자,entity00492894_udf_BS_2018325124057740_NoncurrentAssets,23917957000.0
2163,HDC현대EP,관계기업투자,entity00357935_udf_BS_2018810142828669_NoncurrentAssets,1414577800.0
47419,엔텔스,관계기업투자,entity00415707_udf_BS_2019319142257331_NoncurrentAssets,9852178000.0
75778,한국정보공학,관계기업투자,entity00261957_udf_BS_20171181525925_NoncurrentAssets,12013697000.0
78439,한일진공,관계기업투자,entity00809429_udf_BS_20183211312062_NoncurrentAssets,34942464000.0
35726,센트럴바이오,관계기업투자,entity00347716_udf_BS_2018811123633749_NoncurrentAssets,
83148,휴온스,관계기업투자,entity01159853_udf_BS_20191112144927694_NoncurrentAssets,6173225500.0
47593,엘브이엠씨,관계기업투자,entity00838500_udf_BS_2018420144120363_NoncurrentAssets,18777808.0
29569,사람인에이치알,관계기업투자,entity00857480_udf_BS_201711192317605_NoncurrentAssets,35761537000.0
34975,세아홀딩스,관계기업투자,entity00377610_udf_BS_2018820144113275_NoncurrentAssets,60644966000.0
56569,이엑스티,관계기업투자,entity01097906_udf_BS_20202795422789_NoncurrentAssets,8816181000.0
13446,농심,관계기업투자,entity00108241_udf_BS_2018426102258633_NoncurrentAssets,4906995700.0
54969,유한양행,관계기업투자및공동기업투자,entity00145109_udf_BS_201711913463566_NoncurrentAssets,407108000000.0
79343,한화,관계기업투자및조인트벤처투자,entity00160588_udf_BS_2017111320289698_udf_BS_20171113201812326_AssetsAbstract,253667000000.0
50009,오스템임플란트,관계기업투자자산,entity00341916_udf_BS_2019119104659579_NoncurrentAssets,1424654000.0
39884,씨티케이코스메틱스,관계기업투자자산,entity01144028_udf_BS_2018112710132822_NoncurrentAssets,10888524000.0
66168,코렌텍,관계기업투자자산,entity00541437_udf_BS_2020325105820770_NoncurrentAssets,0.0
67503,코위버,관계기업투자자산,entity00360674_udf_BS_201711712146100_NoncurrentAssets,
36225,솔루에타,관계기업투자자산,entity00624518_udf_BS_201951311208548_NoncurrentAssets,2635724800.0
74501,하이소닉,관계기업투자자산,entity00542898_udf_BS_201881019822608_NoncurrentAssets,459848770.0
23023,롯데제과,관계기업투자자산,entity01258507_udf_BS_201711611445685_NoncurrentAssets,
60376,제로투세븐,관계기업투자자산,entity00563837_udf_BS_202032594217292_NoncurrentAssets,5951584000.0
16392,대유플러스,관계기업투자자산,entity00126089_udf_BS_2018118182531922_NoncurrentAssets,14228659000.0
63482,차바이오텍,관계기업투자주식,entity00525679_udf_BS_201944202839211_NoncurrentAssets,84471730000.0
3613,KSS해운,관계기업투자주식,entity00160232_udf_BS_20193221733682_InvestmentAccountedForUsingEquityMethod,236670930.0
10716,금호에이치티,관계기업투자주식,entity00105606_udf_BS_202022095814843_NoncurrentAssets,6742668000.0
36000,셀트리온헬스케어,관계기업투자주식,entity00554024_udf_BS_202031910922416_NoncurrentAssets,2799262000.0
81104,현대제철,관계기업투자주식,entity00145880_udf_BS_2017117104754766_NoncurrentAssets,124217060000.0
38646,실리콘웍스,관계기업투자주식,entity00525934_udf_BS_201953104252545_NoncurrentAssets,4295935000.0
56326,이스트소프트,관계기업투자주식,entity00273420_udf_BS_2018891493940_NoncurrentAssets,0.0
9048,경창산업,관계기업투자주식,entity00102353_udf_BS_201711141634157_NoncurrentAssets,
8506,게임빌,관계기업투자주식,entity00535746_udf_BS_2018513135930150_NoncurrentAssets,337487330000.0
23288,루미마이크로,관계기업투자주식,entity00533191_udf_BS_201981291122171_NoncurrentAssets,16602283000.0
8256,강원,관계기업투자주식,entity00100601_udf_BS_202022813297202_NoncurrentAssets,773141570.0
7330,THE MIDONG,관계기업투자주식,entity00945208_udf_BS_2020121144816422_NoncurrentAssets,
79679,해성옵틱스,관계기업투자주식,entity00483735_udf_BS_202032310397905_NoncurrentAssets,
21158,디오,관계기업투자주식,entity00115931_udf_BS_20171111135451107_NoncurrentAssets,
66801,코스메카코리아,관계기업투자주식,entity00763473_udf_BS_202032123353437_NoncurrentAssets,113225230.0
38219,신진에스엠,관계기업투자주식,entity00577380_udf_BS_2019323143042260_NoncurrentAssets,312364320.0
25306,모다이노칩,관계기업투자주식,entity00480048_udf_BS_201832017232390_NoncurrentAssets,209724450.0
53184,위지윅스튜디오,관계기업투자주식,entity01276327_udf_BS_202032710130699_NoncurrentAssets,
6472,SK디앤디,관계기업투자주식,entity00508344_udf_BS_2018117113939733_NoncurrentAssets,113000700000.0
31515,삼진엘앤디,관계기업투자주식,entity00239514_udf_BS_20171110145757859_NoncurrentAssets,
23616,리드코프,관계기업투자주식,entity00117708_udf_BS_202031312021488_udf_BS_2020313115910112_AssetsAbstract,1250175000.0
52085,웅진씽크빅,관계기업투자주식,entity00628189_udf_BS_2019325225811428_OtherNoncurrentFinancialAssets,0.0
31071,삼영무역,관계기업투자주식,entity00127167_udf_BS_2019117125430220_NoncurrentAssets,86663135000.0
58039,인터엠,관계기업투자주식,entity00145914_udf_BS_2019122684932838_NoncurrentAssets,108059460.0
38815,쌍방울,관계기업투자주식,entity00681142_udf_BS_20181030145857701_NoncurrentAssets,85078110000.0
2512,JW생명과학,관계기업투자주식,entity00225706_udf_BS_2020328212339258_NoncurrentAssets,10137819.0
1407,EMW,관계기업투자주식,entity00479705_udf_BS_202032394233138_NoncurrentAssets,
26581,미원상사,관계기업투자주식평가이익,entity00121932_udf_BS_201889152242742_OtherComprehensiveIncomeLossAccumulatedAmount,313623840.0
62,AJ네트웍스,관계회사투자,entity00365387_udf_BS_20171113195237304_NoncurrentAssets,16994796000.0
74141,하나투어,관광수탁금,entity00269940_udf_BS_2020221145431115_CurrentLiabilities,104370545000.0
34163,성신양회,광산복구충당부채,entity00132804_udf_BS_2019889121814_NoncurrentLiabilities,23759763000.0
56350,이스트소프트,교환권조정,entity00273420_udf_BS_202032712213557_CurrentLiabilities,-1816349600.0
56351,이스트소프트,교환사채파생상품부채,entity00273420_udf_BS_2020327122148369_CurrentLiabilities,1785732000.0
51696,우진비앤지,국고보조금,entity00103547_udf_BS_2019521595428_CurrentAssets,-266345550.0
26736,미원홀딩스,국민연금전환금,entity00706715_udf_BS_202039205241890_PostemploymentBenefitObligations,1474500.0
33251,서원,국민연금전환금,entity00131197_udf_BS_2019328141529402_PostemploymentBenefitObligations,-2245200.0
3666,KSS해운,국민연금전환금,entity00160232_udf_BS_2017116102729900_PostemploymentBenefitObligations,834299.0
34333,성우테크론,국민연금전환금,entity00350482_udf_BS_2017118134954534_PostemploymentBenefitObligations,0.0
32171,상상인,국민연금전환금,entity00306162_udf_BS_201811910914762_PostemploymentBenefitObligations,1311170.0
69315,태양금속공업,국민연금전환금,entity00153755_udf_BS_2017118165629545_NoncurrentLiabilities,132966600.0
65217,케이엘넷,국민연금전환금,entity00246620_udf_BS_201711718315097_PostemploymentBenefitObligations,-1895800.0
79303,한프,근저당권채권평가손익,entity00226228_udf_BS_2020427173153971_OtherComprehensiveIncomeLossAccumulatedAmount,-5824630300.0
48414,연우,금융기관예치금,entity00372253_udf_BS_2017117183842313_NoncurrentAssets,590000000.0
3787,LG,금융기관예치금,entity00120021_udf_BS_201711311153764_CurrentAssets,567691000000.0
55297,이글루시큐리티,금융기관예치금,entity00364847_udf_BS_201711210306127_CurrentAssets,33329928000.0
64392,컴투스,금융기관예치금,entity00476498_udf_BS_20188141518262_CurrentAssets,504966580000.0
56316,이스트소프트,금융기관예치금,entity00273420_udf_BS_2018891483857_CurrentAssets,6608236500.0
75044,한국경제TV,금융기관예치금,entity00263371_udf_BS_2017117134438248_NoncurrentAssets,0.0
64095,카페24,금융기관예치금,entity00260879_udf_BS_2019513105211218_NoncurrentAssets,4100000000.0
163,APS홀딩스,금융기관예치금,entity00296078_udf_BS_2017113161512333_CurrentAssets,3407000000.0
48407,연우,금융기관예치금,entity00372253_udf_BS_2017117183148620_CurrentAssets,1133736700.0
82403,효성오앤비,금융기관예치금,entity00367385_udf_BS_2017112152014418_CurrentAssets,4799974400.0
5605,SCI평가정보,금융기관예치금,entity00260745_udf_BS_2017112720341663_NoncurrentAssets,68291710.0
175,APS홀딩스,금융기관예치금,entity00296078_udf_BS_2017113163352821_NoncurrentAssets,3000000000.0
27146,바른테크놀로지,금융기관예치금,entity00186452_udf_BS_2018810142051423_CurrentAssets,10211043000.0
14509,대교,금융기관예치금,entity00108913_udf_BS_2017116142144545_CurrentAssets,27686801000.0
27154,바른테크놀로지,금융기관예치금,entity00186452_udf_BS_2018810143634802_NoncurrentAssets,76939400.0
75036,한국경제TV,금융기관예치금,entity00263371_udf_BS_2017117134215490_CurrentAssets,30644148000.0
41719,아이진,금융기관예치금,entity00945457_udf_BS_202032925339528_NoncurrentAssets,
48548,영신금속,금융기관예치금,entity00140858_udf_BS_2019331151532682_NoncurrentAssets,206500000.0
48541,영신금속,금융기관예치금,entity00140858_udf_BS_201933115519604_CurrentAssets,414112450.0
62880,지투알,금융기관예치금,entity00140168_udf_BS_2017118133542324_CurrentAssets,42876080000.0
44960,에스폴리텍,금융기관예치금,entity00340272_udf_BS_2020312115616284_CurrentAssets,
5598,SCI평가정보,금융기관예치금,entity00260745_udf_BS_201711272001979_CurrentAssets,8014777300.0
21069,디에이테크놀로지,금융기관예치금,entity00660121_udf_BS_201711912472457_NoncurrentAssets,
31417,삼진,금융기관예치금,entity00173351_udf_BS_201811892940389_TradeAndOtherCurrentReceivables,15000000000.0
53834,유니크,금융기관예치금,entity00147152_udf_BS_2017111144911288_NoncurrentAssets,1563086700.0
51418,우성사료,금융기관예치금,entity00142661_udf_BS_20191031957473_CurrentAssets,4834840600.0
53826,유니크,금융기관예치금,entity00147152_udf_BS_2017111144336828_CurrentAssets,8290431500.0
21058,디에이테크놀로지,금융기관예치금,entity00660121_udf_BS_2017119111345593_CurrentAssets,2150000000.0
8073,가온전선,금융리스부채,entity00104768_udf_BS_2019326143631585_LongTermTradeAndOtherNonCurrentPayables,3700823000.0
68254,크로바하이텍,금융리스부채,entity00260611_udf_BS_2019325173810982_OtherNoncurrentFinancialLiabilities,75921016.0
855,CNH,금융리스부채,entity00149266_udf_BS_20188215401955_udf_BS_201882153938764_LiabilitiesAbstract,18135503000.0
