종목코드,회사명,업종,업종명,결산기준일,보고서종류,자산총계,유동자산,비유동자산,부채총계,유동부채,비유동부채,자본총계,이익잉여금(결손금),자본총계per자산총계,부채총계per자산총계,cluster
[025770],한국정보통신,612.0,전기 통신업,2019-06-30,반기보고서,303732359168.0,226252488704.0,77479862272.0,106803011584.0,102392979456.0,4410034176.0,196929339392.0,173036503040.0,0.6483646982212874,0.3516352748075989,1
[025770],한국정보통신,612.0,전기 통신업,2019-09-30,3분기보고서,320493223936.0,228706582528.0,91786625024.0,119981277184.0,101061615616.0,18919659520.0,200511930368.0,181589753856.0,0.6256354749267357,0.3743644739520587,1
[025770],한국정보통신,612.0,전기 통신업,2019-12-31,사업보고서,353591689216.0,264830058496.0,88761638912.0,151325851648.0,137483042816.0,13842819072.0,202265837568.0,176444194816.0,0.5720322160751947,0.4279677839248053,1
[025770],한국정보통신,612.0,전기 통신업,2020-03-31,1분기보고서,305385013248.0,220186689536.0,85198323712.0,103564984320.0,90547240960.0,13017749504.0,201820028928.0,174663254016.0,0.66087077024996,0.33912922975003995,1
[002300],한국제지,171.0,"펄프, 종이 및 판지 제조업",2017-12-31,사업보고서,771375497216.0,364888588288.0,406486908928.0,250787971072.0,214863577088.0,35924398080.0,520587509760.0,447383404544.0,0.6748820926239837,0.3251178861360365,1
[002300],한국제지,171.0,"펄프, 종이 및 판지 제조업",2018-12-31,사업보고서,758168616960.0,385632698368.0,372535918592.0,271682781184.0,243943882752.0,27738892288.0,486485819392.0,411915321344.0,0.6416591355926123,0.3583408427974191,1
[002300],한국제지,171.0,"펄프, 종이 및 판지 제조업",2019-03-31,1분기보고서,744394522624.0,373851357184.0,370543132672.0,263644856320.0,236624199680.0,27020658688.0,480749649920.0,405225668608.0,0.6458264204112512,0.3541735575789147,1
[002300],한국제지,171.0,"펄프, 종이 및 판지 제조업",2019-06-30,반기보고서,758871097344.0,374337536000.0,384533561344.0,275829751808.0,224216186880.0,51613569024.0,483041345536.0,407313940480.0,0.6365262127212561,0.3634737872787439,1
[002300],한국제지,171.0,"펄프, 종이 및 판지 제조업",2019-09-30,3분기보고서,722151276544.0,353195786240.0,368955490304.0,258504015872.0,204597477376.0,53906542592.0,463647244288.0,387506536448.0,0.6420361762799576,0.3579638010322753,1
[002300],한국제지,171.0,"펄프, 종이 및 판지 제조업",2019-12-31,사업보고서,850634539008.0,379342880768.0,471291658240.0,363498602496.0,269185220608.0,94313381888.0,487135936512.0,389270732800.0,0.5726735915051042,0.42732640849489584,1
[002300],한국제지,171.0,"펄프, 종이 및 판지 제조업",2020-03-31,1분기보고서,864993935360.0,384333479936.0,480660455424.0,371779567616.0,253738893312.0,118040674304.0,493214367744.0,392998715392.0,0.5701940182259546,0.42980598177404544,1
[009540],한국조선해양,311.0,선박 및 보트 건조업,2017-12-31,사업보고서,30408846606336.0,17663719899136.0,12745127755776.0,18036809531392.0,15614870552576.0,2421938454528.0,12372038123520.0,16236901564416.0,0.4068565402589836,0.5931434942236133,0
[009540],한국조선해양,311.0,선박 및 보트 건조업,2018-12-31,사업보고서,24729899499520.0,12316693233664.0,12413206265856.0,11618935111680.0,9410253422592.0,2208682213376.0,13110963339264.0,16043716116480.0,0.5301664626465012,0.4698334949523559,5
[009540],한국조선해양,311.0,선박 및 보트 건조업,2019-03-31,1분기보고서,24542374264832.0,12190502354944.0,12351872958464.0,11404960595968.0,8694828367872.0,2710131965952.0,13137414717440.0,16051769180160.0,0.5352951827592842,0.4647048599658404,5
[009540],한국조선해양,311.0,선박 및 보트 건조업,2019-06-30,반기보고서,24819665993728.0,12311920115712.0,12507745878016.0,11491628548096.0,8554520510464.0,2937108037632.0,13328037445632.0,16227988668416.0,0.5369950364763181,0.4630049635236818,5
[009540],한국조선해양,311.0,선박 및 보트 건조업,2019-09-30,3분기보고서,24806749634560.0,12147076628480.0,12659673006080.0,11465383739392.0,8237992116224.0,3227391623168.0,13341365895168.0,16226659074048.0,0.5378119298862605,0.4621880701137395,5
[009540],한국조선해양,311.0,선박 및 보트 건조업,2019-12-31,사업보고서,25055373295616.0,12545988493312.0,12509383753728.0,12129057898496.0,8941941555200.0,3187116343296.0,12926315397120.0,16180565770240.0,0.5159099106051535,0.4840900893948466,5
[009540],한국조선해양,311.0,선박 및 보트 건조업,2020-03-31,1분기보고서,26093239140352.0,13575883063296.0,12517356077056.0,13019340865536.0,9884950069248.0,3134390796288.0,13073898274816.0,16355967369216.0,0.5010454319026194,0.4989545680973807,5
[000970],한국주철관공업,241.0,1차 철강 제조업,2017-03-31,사업보고서,334728986624.0,167846821888.0,166882164736.0,79632367616.0,71294328832.0,8338038272.0,255096619008.0,142498611200.0,0.7620989791796825,0.2379010208203175,2
[000970],한국주철관공업,241.0,1차 철강 제조업,2018-03-31,사업보고서,340407812096.0,172982976512.0,167424819200.0,78487912448.0,71683137536.0,6804777472.0,261919883264.0,150046228480.0,0.7694297074185088,0.2305702444509859,2
[000970],한국주철관공업,241.0,1차 철강 제조업,2019-03-31,사업보고서,351976390656.0,175203696640.0,176772710400.0,83056762880.0,76335980544.0,6720777728.0,268919635968.0,156876390400.0,0.7640274833968209,0.23597253987746736,2
[000970],한국주철관공업,241.0,1차 철강 제조업,2019-06-30,1분기보고서,355109797888.0,166415351808.0,188694462464.0,84288323584.0,71048945664.0,13239377920.0,270821490688.0,158560681984.0,0.7626415612824512,0.23735848485539154,2
[000970],한국주철관공업,241.0,1차 철강 제조업,2019-09-30,반기보고서,355557507072.0,167539441664.0,188018065408.0,83503054848.0,69829763072.0,13673294848.0,272054468608.0,159767805952.0,0.7651489933326292,0.23485105274711784,2
[000970],한국주철관공업,241.0,1차 철강 제조업,2019-12-31,3분기보고서,363587895296.0,171867684864.0,191720194048.0,86698082304.0,75221671936.0,11476413440.0,276889796608.0,163383771136.0,0.7615484458925171,0.2384515090454768,2
[017960],한국카본,251.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",2017-12-31,사업보고서,366441398272.0,240653402112.0,125787996160.0,56119222272.0,46009683968.0,10109538304.0,310322200576.0,221825548288.0,0.8468535543182701,0.1531465127483881,7
[017960],한국카본,251.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",2018-12-31,사업보고서,360113111040.0,189268590592.0,169985212416.0,56411443200.0,46640746496.0,8921269248.0,303701655552.0,218585153536.0,0.8433507313158225,0.15664923456156538,7
[017960],한국카본,251.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",2019-03-31,1분기보고서,362861854720.0,182028926976.0,179989643264.0,61221892096.0,51026632704.0,9333280768.0,301639958528.0,215809048576.0,0.8312804297402893,0.16871955897166838,7
[017960],한국카본,251.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",2019-06-30,반기보고서,369653219328.0,198745718784.0,170065543168.0,67531001856.0,57455685632.0,9198943232.0,302122237952.0,216873861120.0,0.8173126112664028,0.18268744413687502,2
[017960],한국카본,251.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",2019-09-30,3분기보고서,376734482432.0,207582478336.0,168310292480.0,75422023680.0,61583372288.0,13838652416.0,301312442368.0,216125980672.0,0.7998005396874879,0.20019941682299694,2
[017960],한국카본,251.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",2019-12-31,사업보고서,397589479424.0,220581380096.0,176319692800.0,84870938624.0,66685644800.0,18175631360.0,312718557184.0,227524640768.0,0.7865362977839476,0.21346374342438615,2
[017960],한국카본,251.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",2020-03-31,1분기보고서,414383538176.0,227312435200.0,186906116096.0,95715917824.0,77817085952.0,17889169408.0,318667620352.0,232698281984.0,0.7690161191119835,0.23098388088801644,2
[054040],한국컴퓨터,262.0,전자부품 제조업,2017-12-31,사업보고서,146066341888.0,80389898240.0,65676443648.0,51396153344.0,20758181888.0,30637969408.0,94670192640.0,80151076864.0,0.6481314683199961,0.35186855972205616,1
[054040],한국컴퓨터,262.0,전자부품 제조업,2018-12-31,사업보고서,135316307968.0,71936442368.0,63379865600.0,48825544704.0,21527199744.0,27298344960.0,86490767360.0,72790917120.0,0.6391747503224341,0.3608252799473838,1
[054040],한국컴퓨터,262.0,전자부품 제조업,2019-03-31,1분기보고서,126217912320.0,63879073792.0,62338838528.0,41692835840.0,15007896576.0,26684938240.0,84525080576.0,70432956416.0,0.669675793414359,0.3303242390374533,1
[054040],한국컴퓨터,262.0,전자부품 제조업,2019-06-30,반기보고서,132345446400.0,68848197632.0,63497248768.0,44393324544.0,18350622720.0,26042699776.0,87952121856.0,73696632832.0,0.6645647753544469,0.33543522464555303,1
[054040],한국컴퓨터,262.0,전자부품 제조업,2019-09-30,3분기보고서,139658133504.0,76277391360.0,63380750336.0,45686919168.0,28037310464.0,17649610752.0,93971218432.0,79524487168.0,0.6728660628226751,0.32713396650608584,1
