업종명1,업종,업종명2
수산물 가공 및 저장 처리업,102,수산물 가공 및 저장 처리업
"가죽, 가방 및 유사제품 제조업",151,"가죽, 가방 및 유사제품 제조업"
악기 제조업,332,악기 제조업
건물설비 설치 공사업,422,건물설비 설치 공사업
"인형,장난감 및 오락용품 제조업",334,"인형,장난감 및 오락용품 제조업"
"인형, 장난감 및 오락용품 제조업",334,"인형,장난감 및 오락용품 제조업"
전문디자인업,732,전문디자인업
전문 디자인업,732,전문디자인업
"항공기,우주선 및 부품 제조업",313,"항공기,우주선 및 부품 제조업"
"항공기, 우주선 및 부품 제조업",313,"항공기,우주선 및 부품 제조업"
무점포 소매업,479,무점포 소매업
"섬유제품 염색, 정리 및 마무리 가공업",134,"섬유제품 염색, 정리 및 마무리 가공업"
인쇄 및 인쇄관련 산업,181,인쇄 및 인쇄관련 산업
"경비, 경호 및 탐정업",753,"경비, 경호 및 탐정업"
자동차 차체 및 트레일러 제조업,302,자동차 차체 및 트레일러 제조업
교육지원 서비스업,857,교육지원 서비스업
폐기물 처리업,382,폐기물 처리업
편조원단 및 편조제품 제조업,133,편조원단 및 편조제품 제조업
편조원단 제조업,133,편조원단 및 편조제품 제조업
"건축자재, 철물 및 난방장치 도매업",466,"건축자재, 철물 및 난방장치 도매업"
환경 정화 및 복원업,390,환경 정화 및 복원업
담배 제조업,120,담배 제조업
그외 기타 개인 서비스업,969,그외 기타 개인 서비스업
그 외 기타 개인 서비스업,969,그외 기타 개인 서비스업
기타 상품 전문 소매업,478,기타 상품 전문 소매업
창작 및 예술관련 서비스업,901,창작 및 예술관련 서비스업
"과실, 채소 가공 및 저장 처리업",103,"과실, 채소 가공 및 저장 처리업"
전기업,351,전기업
제재 및 목재 가공업,161,제재 및 목재 가공업
철도장비 제조업,312,철도장비 제조업
숙박시설 운영업,551,숙박시설 운영업
일반 및 생활 숙박시설 운영업,551,숙박시설 운영업
축산업,12,축산업
기타 금융업,649,기타 금융업
석탄 광업,51,석탄 광업
의복 액세서리 제조업,144,의복 액세서리 제조업
기타 전문 서비스업,716,기타 전문 서비스업
사업시설 유지ㆍ관리 서비스업,741,사업시설 유지ㆍ관리 서비스업
자동차 재제조 부품 제조업,304,자동차 재제조 부품 제조업
개인 및 가정용품 임대업,762,개인 및 가정용품 임대업
산업용 농ㆍ축산물 및 동ㆍ식물 도매업,462,산업용 농ㆍ축산물 및 동ㆍ식물 도매업
신발 및 신발 부분품 제조업,152,신발 및 신발 부분품 제조업
,763,산업용 기계 및 장비 임대업
,761,운송장비 임대업
