,회사명,결산기준일,자산총계,자본총계,부채총계
8941,천보,2019-06-30,222396825600.0,199363870720.0,23032963072.0
8942,천보,2019-09-30,227190063104.0,204224888832.0,22965164032.0
8943,천보,2019-12-31,235236917248.0,210603655168.0,24633257984.0
8944,천보,2020-03-31,238638743552.0,211946881024.0,26691862528.0
8945,청담러닝,2017-12-31,145606606848.0,83658096640.0,61948502016.0
8946,청담러닝,2018-12-31,166309396480.0,89247244288.0,77062160384.0
8947,청담러닝,2019-03-31,173536444416.0,90516209664.0,83020234752.0
8948,청담러닝,2019-06-30,189724573696.0,92424724480.0,97299849216.0
8949,청담러닝,2019-09-30,184966905856.0,90870734848.0,94096171008.0
8950,청담러닝,2019-12-31,193391050752.0,87525105664.0,105865953280.0
8951,청담러닝,2020-03-31,187855470592.0,86883409920.0,100972052480.0
8952,청호컴넷,2017-12-31,63961239552.0,23687385088.0,40273854464.0
8953,청호컴넷,2018-12-31,72506900480.0,24332929024.0,48173973504.0
8954,청호컴넷,2019-03-31,68891402240.0,20468975616.0,48422424576.0
8955,청호컴넷,2019-06-30,58210222080.0,9885355008.0,48324866048.0
8956,청호컴넷,2019-09-30,66567852032.0,14445783040.0,52122066944.0
8957,청호컴넷,2019-12-31,50795712512.0,6941684736.0,43854028800.0
8958,청호컴넷,2020-03-31,35138666496.0,7988096512.0,27150571520.0
8959,체리부로,2017-12-31,255024660480.0,109179174912.0,145845485568.0
8960,체리부로,2018-12-31,268293668864.0,101034827776.0,167258832896.0
8961,체리부로,2019-03-31,263796113408.0,99200139264.0,164595974144.0
8962,체리부로,2019-06-30,268125208576.0,93940211712.0,174185005056.0
8963,체리부로,2019-09-30,268133449728.0,85557559296.0,182575890432.0
8964,체리부로,2019-12-31,280388599808.0,95885516800.0,184503074816.0
8965,체리부로,2020-03-31,288104480768.0,84055793664.0,204048678912.0
8966,체시스,2017-06-30,84911529984.0,29456834560.0,55454695424.0
8967,체시스,2018-06-30,90966523904.0,28460249088.0,62506274816.0
8968,체시스,2019-03-31,89190850560.0,26413137920.0,62777716736.0
8969,체시스,2019-06-30,88630378496.0,26702620672.0,61927759872.0
8970,체시스,2019-09-30,92898148352.0,27096629248.0,65801523200.0
8971,체시스,2019-12-31,82065055744.0,26708107264.0,55356948480.0
8972,초록뱀,2017-12-31,111076859904.0,81901920256.0,29174935552.0
8973,초록뱀,2018-12-31,169114746880.0,96208453632.0,72906293248.0
8974,초록뱀,2019-03-31,171007049728.0,99451813888.0,71555244032.0
8975,초록뱀,2019-06-30,186309967872.0,116651859968.0,69658116096.0
8976,초록뱀,2019-09-30,199297712128.0,126696898560.0,72600813568.0
8977,초록뱀,2019-12-31,186524565504.0,108263096320.0,78261469184.0
8978,초록뱀,2020-03-31,198754566144.0,114551209984.0,84203364352.0
8979,칩스앤미디어,2017-12-31,29007462400.0,26521262080.0,2486199552.0
8980,칩스앤미디어,2018-12-31,31857434624.0,28544038912.0,3313395456.0
8981,칩스앤미디어,2019-03-31,31661498368.0,28361934848.0,3299562496.0
8982,칩스앤미디어,2019-06-30,32368390144.0,29158387712.0,3210002944.0
8983,칩스앤미디어,2019-09-30,34337191936.0,30512353280.0,3824838400.0
8984,칩스앤미디어,2019-12-31,35860267008.0,32093452288.0,3766816000.0
8985,칩스앤미디어,2020-03-31,34459504640.0,30885568512.0,3573936384.0
8986,카스,2017-12-31,116218527744.0,37135953920.0,79082569728.0
8987,카스,2018-12-31,122741399552.0,40782925824.0,81958477824.0
8988,카스,2019-03-31,132395180032.0,41984143360.0,90411040768.0
8989,카스,2019-06-30,133788753920.0,43101450240.0,90687299584.0
8990,카스,2019-09-30,129407803392.0,43479924736.0,85927878656.0
8991,카스,2019-12-31,129321336832.0,42317201408.0,87004135424.0
8992,카스,2020-03-31,131470884864.0,43978960896.0,87491928064.0
8993,카카오,2017-12-31,6349428621312.0,4462922956800.0,1886505664512.0
8994,카카오,2018-12-31,7959542235136.0,5627157413888.0,2332384559104.0
8995,카카오,2019-03-31,8074977869824.0,5637951979520.0,2437025890304.0
8996,카카오,2019-06-30,8178307694592.0,5665987231744.0,2512320724992.0
8997,카카오,2019-09-30,8785300029440.0,5883945287680.0,2901354741760.0
8998,카카오,2019-12-31,8737255849984.0,5740117884928.0,2997137965056.0
8999,카카오,2020-03-31,9495805689856.0,6047810453504.0,3447995760640.0
9000,카페24,2017-12-31,71917920256.0,13724142592.0,58193780736.0
9001,카페24,2018-12-31,148595802112.0,114688925696.0,33906874368.0
9002,카페24,2019-03-31,223175901184.0,145604968448.0,77570949120.0
9003,카페24,2019-06-30,226093629440.0,149361246208.0,76732375040.0
9004,카페24,2019-09-30,215362502656.0,150597189632.0,64765317120.0
9005,카페24,2019-12-31,231433764864.0,152268374016.0,79165390848.0
9006,카페24,2020-03-31,221028073472.0,150529261568.0,70498820096.0
9007,캐리소프트,2017-12-31,11597092864.0,6175236096.0,5421856256.0
9008,캐리소프트,2018-12-31,12204260352.0,2364448768.0,9839811584.0
9009,캐리소프트,2019-12-31,21133742080.0,17750177792.0,3383563264.0
9010,캐리소프트,2020-03-31,21779552256.0,17364170752.0,4415381504.0
9011,캐스텍코리아,2017-12-31,261098684416.0,107136524288.0,153962168320.0
9012,캐스텍코리아,2018-12-31,290374352896.0,125875544064.0,164498800640.0
9013,캐스텍코리아,2019-03-31,296580546560.0,127644319744.0,168936226816.0
9014,캐스텍코리아,2019-06-30,297792110592.0,128969129984.0,168822980608.0
