,종목코드,회사명,업종,업종명,결산기준일,보고서종류,자산총계,유동자산,비유동자산,부채총계,유동부채,비유동부채,자본총계,이익잉여금(결손금),유동자산per자산총계,비유동자산per자산총계,유동부채per자산총계,비유동부채per자산총계,부채총계per자산총계,이익잉여금(결손금)per자산총계,자본총계per자산총계,cluster
64,[079160],CJ CGV,591.0,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-03-31,1분기보고서,4230041829376.0,543371362304.0,3686670532608.0,3686679445504.0,1036247695360.0,2650431815680.0,543362383872.0,170464968704.0,0.1284553165716936,0.8715446989212974,0.2449733920273936,0.6265734294336711,0.8715468059680737,0.04029864847202856,0.12845319403192634,0
65,[079160],CJ CGV,591.0,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-06-30,반기보고서,4252990177280.0,531988152320.0,3721001959424.0,3730328256512.0,1051848933376.0,2678479126528.0,522662084608.0,161632976896.0,0.12508567622891456,0.8749143083616917,0.2473198595649497,0.6297872825657503,0.8771071883588811,0.03800454977758081,0.12289285016460315,0
66,[079160],CJ CGV,591.0,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-09-30,3분기보고서,4379361411072.0,574639702016.0,3804721577984.0,3847118913536.0,1114227605504.0,2732891308032.0,532242530304.0,159705579520.0,0.13121540975430412,0.8687845603162181,0.2544269588454117,0.6240387699271961,0.8784657287726076,0.036467777954162166,0.12153427870976174,0
67,[079160],CJ CGV,591.0,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-12-31,사업보고서,4524047073280.0,677012701184.0,3847034241024.0,3922936987648.0,1120212877312.0,2802724110336.0,601109889024.0,15290150912.0,0.14964758107460538,0.8503523899531055,0.24761300206804202,0.6195170087617997,0.8671300108298416,0.0033797506224696326,0.13286994571172456,0
68,[079160],CJ CGV,591.0,"영화, 비디오물, 방송프로그램 제작 및 배급업",2020-03-31,1분기보고서,4456866906112.0,603587543040.0,3853279035392.0,3985096572928.0,1106654396416.0,2878442307584.0,471769972736.0,-81810219008.0,0.1354286667641477,0.8645712597133517,0.24830321832100724,0.6458443494546807,0.8941475383666877,-0.018355993286631057,0.10585238075856164,0
69,[035760],CJ ENM,602.0,텔레비전 방송업,2017-12-31,사업보고서,2801818402816.0,661780037632.0,2137854705664.0,1317714395136.0,731532034048.0,586182361088.0,1484104138752.0,924144304128.0,0.23619662036871136,0.7630240073786808,0.26109187994224226,0.20921497285436155,0.4703068527966038,0.32983733107012864,0.5296931939844438,0
70,[035760],CJ ENM,602.0,텔레비전 방송업,2018-12-31,사업보고서,6754948087808.0,1806584905728.0,4948363313152.0,3329299841024.0,2021789401088.0,1307510571008.0,3425648246784.0,1069859864576.0,0.2674461568385261,0.7325538625653241,0.2993049502093326,0.1935633781357883,0.4928683089412708,0.15838165603477974,0.5071316910587291,0
71,[035760],CJ ENM,602.0,텔레비전 방송업,2019-03-31,1분기보고서,6968437637120.0,1819618312192.0,5148819587072.0,3479020765184.0,2258388910080.0,1220631724032.0,3489417134080.0,1089359839232.0,0.2611228523448527,0.7388771852739098,0.32408827167367377,0.17516576707666104,0.499254057559716,0.15632770155380538,0.5007459800590464,0
72,[035760],CJ ENM,602.0,텔레비전 방송업,2019-06-30,반기보고서,7382547038208.0,2104644861952.0,5277902438400.0,3824840081408.0,2499513942016.0,1325325877248.0,3557707218944.0,1151707643904.0,0.2850838404495788,0.7149161950590335,0.33857067609320896,0.17952149446374574,0.5180922060655669,0.1560041050796419,0.4819078294430453,0
73,[035760],CJ ENM,602.0,텔레비전 방송업,2019-09-30,3분기보고서,7385923452928.0,2053510660096.0,5332412661760.0,3787460968448.0,2722248523776.0,1065212444672.0,3598462484480.0,1180697231360.0,0.2780303198622953,0.7219696623915148,0.3685725341083544,0.14422197189841146,0.5127945060067658,0.15985776712753996,0.4872054939932342,0
