,0
394,dart_shorttermadvancescustomers
395,dart_shorttermadvancesinvestement
396,dart_shorttermcollectionwithholdings
397,dart_shorttermcontractreserve
398,dart_shorttermdeferredancillaryincomeforloans
399,dart_shorttermdepositsnotclassifiedascashequivalents
400,dart_shorttermdepositsprovided
401,dart_shorttermduefromcustomersforcontractwork
402,dart_shorttermduetocustomersforcontractwork
403,dart_shorttermguaranteedepositrent
404,dart_shorttermguaranteedepositwithholdings
405,dart_shorttermincomereceivedinadvance
406,dart_shorttermloans
407,dart_shorttermotherguaranteedepositreceived
408,dart_shorttermotherpayables
409,dart_shorttermotherreceivables
410,dart_shorttermprepaidconstructioncosts
411,dart_shorttermprepaidexpenses
412,dart_shorttermrentreceivedinadvance
413,dart_shorttermtradepayables
414,dart_shorttermtradereceivable
415,dart_shorttermwithholdings
416,dart_stockoptions
417,dart_structuregross
418,dart_suppliesgross
419,dart_supplyfacilitiesgross
420,dart_tangibleexplorationandevaluationassetsgross
421,dart_telexandtelephonesubscriptionrights
422,dart_toolsandequipmentgross
423,dart_unfinishedprogramgross
424,dart_usufructcontributionassetgross
425,dart_utilitymodelrightsgross
426,dart_vehiclesgross
427,dart_voluntaryreserves
428,dart_workinprogressgross
429,ifrs-full_assets
430,ifrs-full_assetsabstract
431,ifrs-full_cash
432,ifrs-full_cashandcashequivalents
433,ifrs-full_cashequivalents
434,ifrs-full_currentassets
435,ifrs-full_currentcontractassets
436,ifrs-full_currentcontractliabilities
437,ifrs-full_currentfinancialassetsatamortisedcost
438,ifrs-full_currentfinancialassetsatfairvaluethroughprofitorlossdesignateduponinitialrecognition
439,ifrs-full_currentfinancialassetsatfairvaluethroughprofitorlossmandatorilymeasuredatfairvalue
440,ifrs-full_currentfinancialassetsmeasuredatfairvaluethroughothercomprehensiveincome
441,ifrs-full_currentfinancialliabilitiesatamortisedcost
442,ifrs-full_currentfinancialliabilitiesatfairvaluethroughprofitorlossclassifiedasheldfortrading
443,ifrs-full_currentfinancialliabilitiesatfairvaluethroughprofitorlossdesignateduponinitialrecognition
444,ifrs-full_currentinvestmentsinequityinstrumentsdesignatedatfairvaluethroughothercomprehensiveincome
445,ifrs-full_currentleaseliabilities
446,ifrs-full_currentliabilities
447,ifrs-full_currentportionoflongtermborrowings
448,ifrs-full_currentprovisions
449,ifrs-full_currentprovisionsforemployeebenefits
450,ifrs-full_currenttaxassets
451,ifrs-full_currenttaxliabilities
452,ifrs-full_deferredincomeclassifiedascurrent
453,ifrs-full_deferredincomeclassifiedasnoncurrent
454,ifrs-full_deferredtaxassets
455,ifrs-full_deferredtaxliabilities
456,ifrs-full_dividendspayable
457,ifrs-full_equity
458,ifrs-full_equityabstract
459,ifrs-full_equityandliabilities
460,ifrs-full_equityattributabletoownersofparent
461,ifrs-full_intangibleassetsotherthangoodwill
462,ifrs-full_inventories
463,ifrs-full_investmentaccountedforusingequitymethod
464,ifrs-full_investmentproperty
465,ifrs-full_investmentsinassociates
466,ifrs-full_investmentsinjointventures
467,ifrs-full_investmentsinsubsidiaries
468,ifrs-full_investmentsinsubsidiariesjointventuresandassociates
469,ifrs-full_issuedcapital
470,ifrs-full_liabilities
471,ifrs-full_liabilitiesabstract
472,ifrs-full_liabilitiesincludedindisposalgroupsclassifiedasheldforsale
473,ifrs-full_longtermlegalproceedingsprovision
474,ifrs-full_longtermmiscellaneousotherprovisions
475,ifrs-full_longtermonerouscontractsprovision
476,ifrs-full_longtermprovisionfordecommissioningrestorationandrehabilitationcosts
477,ifrs-full_longtermrestructuringprovision
478,ifrs-full_longtermwarrantyprovision
479,ifrs-full_noncontrollinginterests
480,ifrs-full_noncurrentassets
481,ifrs-full_noncurrentassetsordisposalgroupsclassifiedasheldforsaleorasheldfordistributiontoowners
482,ifrs-full_noncurrentcontractassets
483,ifrs-full_noncurrentcontractliabilities
484,ifrs-full_noncurrentfinancialassetsatamortisedcost
485,ifrs-full_noncurrentfinancialassetsatfairvaluethroughprofitorlossdesignateduponinitialrecognition
486,ifrs-full_noncurrentfinancialassetsatfairvaluethroughprofitorlossmandatorilymeasuredatfairvalue
487,ifrs-full_noncurrentfinancialassetsmeasuredatfairvaluethroughothercomprehensiveincome
488,ifrs-full_noncurrentfinancialliabilitiesatamortisedcost
489,ifrs-full_noncurrentfinancialliabilitiesatfairvaluethroughprofitorlossclassifiedasheldfortrading
490,ifrs-full_noncurrentfinancialliabilitiesatfairvaluethroughprofitorlossdesignateduponinitialrecognition
491,ifrs-full_noncurrentinvestmentsinequityinstrumentsdesignatedatfairvaluethroughothercomprehensiveincome
492,ifrs-full_noncurrentleaseliabilities
