,df2019ÀüÃ³¸®
317,_presentvaluediscountslongtermdepositsprovidedgross
318,_presentvaluediscountslongtermguaranteedepositrentgross
319,_presentvaluediscountslongtermleaseholddeposits
320,_presentvaluediscountslongtermloansgross
321,_presentvaluediscountslongtermotherguaranteedepositreceivedgross
322,_presentvaluediscountslongtermotherpayablesgross
323,_presentvaluediscountslongtermotherreceivablesgross
324,_presentvaluediscountslongtermtradepayablesgross
325,_presentvaluediscountslongtermtradereceivablesgross
326,_presentvalueofdefinedbenefitobligation
327,_productionsuppliesgross
328,_propertyplantandequipment
329,_rawmaterialsgross
330,_receivablesagent
331,_receivablesonconstructioncontracts
332,_receivablesrealestatesales
333,_redemptionpremiumonbondsissued
334,_redemptionpremiumonbondwithwarrant
335,_redemptionpremiumonconvertiblebonds
336,_redemptionpremiumonconvertibleredeemablepreferredstockliabilities
337,_rentalassetgross
338,_rentstructuregross
339,_reserveofchangeinvalueofforeigncurrencybasisspreads
340,_reserveofgainsfrominvestmentsinequityinstruments
341,_reserveofgainsonfinancialassetsmeasuredatfairvaluethroughothercomprehensiveincome
342,_reserveoflossesonfinancialassetsmeasuredatfairvaluethroughothercomprehensiveincome
343,_retainedearnings
344,_retainedearningsbeforeappropriationsaccumulateddeficitbeforedisposition
345,_rightofuseassets
346,_semifinishedgoodsgross
347,_sharepremium
348,_shipsgross
349,_shorttermaccruedexpenses
350,_shorttermaccruedincome
351,_shorttermadvancepayments
352,_shorttermadvancescustomers
353,_shorttermborrowings
354,_shorttermcollectionwithholdings
355,_shorttermdepositsnotclassifiedascashequivalents
356,_shorttermdepositsprovided
357,_shorttermduefromcustomersforcontractwork
358,_shorttermduetocustomersforcontractwork
359,_shorttermguaranteedepositrent
360,_shorttermguaranteedepositwithholdings
361,_shorttermincomereceivedinadvance
362,_shorttermlegalproceedingsprovision
363,_shorttermloans
364,_shorttermmiscellaneousotherprovisions
365,_shorttermonerouscontractsprovision
366,_shorttermotherguaranteedepositreceived
367,_shorttermotherpayables
368,_shorttermotherreceivables
369,_shorttermprepaidconstructioncosts
370,_shorttermprepaidexpenses
371,_shorttermprovisionfordecommissioningrestorationandrehabilitationcosts
372,_shorttermrentreceivedinadvance
373,_shorttermtradepayables
374,_shorttermtradereceivable
375,_shorttermwarrantyprovision
376,_shorttermwithholdings
377,_stockoptions
378,_structuregross
379,_suppliesgross
380,_supplyfacilitiesgross
381,_telexandtelephonesubscriptionrights
382,_toolsandequipmentgross
383,_tradeandothercurrentpayables
384,_tradeandothercurrentreceivables
385,_treasuryshares
386,_usufructcontributionassetgross
387,_utilitymodelrightsgross
388,_vehiclesgross
389,_voluntaryreserves
390,_workinprogressgross
