영문 Label,한글 Label,Data Type,IFRS Reference,Element ID,Element Name
Gains valuation derivatives cash flow hedge,현금흐름위험회피파생상품평가이익,X,"K-IFRS 1001 문단 54 (18), 
K-IFRS 1001 문단 78 (5), 
K-IFRS 1001 문단 58",dart_GainsValuationDerivativesCashFlowHedge,GainsValuationDerivativesCashFlowHedge
Losses valuation derivatives cash flow hedge,현금흐름위험회피파생상품평가손실,(X),"K-IFRS 1001 문단 54 (18), 
K-IFRS 1001 문단 78 (5), 
K-IFRS 1001 문단 58",dart_LossesValuationDerivativesCashFlowHedge,LossesValuationDerivativesCashFlowHedge
Comprehensive income gains losses equity method securities,지분법기타포괄손익변동,X,"K-IFRS 1001 문단 54 (18), 
K-IFRS 1001 문단 78 (5), 
K-IFRS 1001 문단 58",dart_ComprehensiveIncomeGainsLossesEquityMethodSecurities,ComprehensiveIncomeGainsLossesEquityMethodSecurities
Retained earnings,이익잉여금(결손금),X,"K-IFRS 1001 문단 54 (18), 
K-IFRS 1001 문단 78 (5), 
K-IFRS 1001 문단 58",ifrs-full_RetainedEarnings,RetainedEarnings
Legal Reserve,이익준비금,X,"K-IFRS 1001 문단 54 (18), 
K-IFRS 1001 문단 78 (5), 
K-IFRS 1001 문단 58",dart_LegalReserve,LegalReserve
Appropriated retained earnings other legal reserves,기타법정적립금,X,"K-IFRS 1001 문단 54 (18), 
K-IFRS 1001 문단 78 (5), 
K-IFRS 1001 문단 58",dart_AppropriatedRetainedEarningsOtherLegalReserves,AppropriatedRetainedEarningsOtherLegalReserves
Voluntary Reserves,임의적립금,X,"K-IFRS 1001 문단 54 (18), 
K-IFRS 1001 문단 78 (5), 
K-IFRS 1001 문단 58",dart_VoluntaryReserves,VoluntaryReserves
Retained earnings before appropriations(accumulated deficit before disposition),미처분이익잉여금(미처리결손금),X,"K-IFRS 1001 문단 54 (18), 
K-IFRS 1001 문단 78 (5), 
K-IFRS 1001 문단 58",dart_RetainedEarningsBeforeAppropriationsAccumulatedDeficitBeforeDisposition,RetainedEarningsBeforeAppropriationsAccumulatedDeficitBeforeDisposition
Total equity,자본총계,,,ifrs-full_Equity,Equity
Total equity and liabilities,자본과부채총계,,,ifrs-full_EquityAndLiabilities,EquityAndLiabilities
