영문 Label,한글 Label,Data Type,IFRS Reference,Element ID,Element Name
"Finance lease asset, gross",금융리스자산,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_FinanceLeaseAssetGross,FinanceLeaseAssetGross
"Government grants, finance lease asset",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsFinanceLeaseAssetGross,GovernmentGrantsFinanceLeaseAssetGross
"Accumulated depreciation, finance lease asset",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationFinanceLeaseAssetGross,AccumulatedDepreciationFinanceLeaseAssetGross
"Accumulated impairment loss, finance lease asset",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossFinanceLeaseAssetGross,AccumulatedImpairmentLossFinanceLeaseAssetGross
Right-of-use assets,사용권자산,X,K-IFRS 1116 문단 53 (10),ifrs-full_RightofuseAssets,RightofuseAssets
Rent structure,임차구축물,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_RentStructureGross,RentStructureGross
"Government grants, rent structure",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsRentStructureGross,GovernmentGrantsRentStructureGross
"Accumulated depreciation, rent structure",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationRentStructureGross,AccumulatedDepreciationRentStructureGross
"Accumulated impairment loss, rent structure",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossRentStructureGross,AccumulatedImpairmentLossRentStructureGross
"Fixtures and fittings, gross",집기,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_FixturesAndFittingsGross,FixturesAndFittingsGross
"Government grants, fixtures and fittings",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsFixturesAndFittingsGross,GovernmentGrantsFixturesAndFittingsGross
"Accumulated depreciation, fixtures and fittings",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationFixturesAndFittingsGross,AccumulatedDepreciationFixturesAndFittingsGross
"Accumulated Impairment loss, fixtures and fittings",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossFixturesAndFittingsGross,AccumulatedImpairmentLossFixturesAndFittingsGross
"Office equipment, gross",사무용비품,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_OfficeEquipmentGross,OfficeEquipmentGross
"Government grants, office equipment",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsOfficeEquipmentGross,GovernmentGrantsOfficeEquipmentGross
"Accumulated depreciation, office equipment",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationOfficeEquipmentGross,AccumulatedDepreciationOfficeEquipmentGross
"Accumulated Impairment loss, office equipment",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossOfficeEquipmentGross,AccumulatedImpairmentLossOfficeEquipmentGross
"Tangible exploration and evaluation assets, gross",유형탐사평가자산,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_TangibleExplorationAndEvaluationAssetsGross,TangibleExplorationAndEvaluationAssetsGross
"Government grants, tangible exploration and evaluation assets",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsTangibleExplorationAndEvaluationAssetsGross,GovernmentGrantsTangibleExplorationAndEvaluationAssetsGross
"Accumulated depreciation, tangible exploration and evaluation assets",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationTangibleExplorationAndEvaluationAssetsGross,AccumulatedDepreciationTangibleExplorationAndEvaluationAssetsGross
"Accumulated Impairment loss, tangible exploration and evaluation assets",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossTangibleExplorationAndEvaluationAssetsGross,AccumulatedImpairmentLossTangibleExplorationAndEvaluationAssetsGross
"Construction in progress, gross",건설중인자산,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_ConstructionInProgressGross,ConstructionInProgressGross
"Government grants, construction in progress",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsConstructionInProgressGross,GovernmentGrantsConstructionInProgressGross
"Accumulated Impairment loss, construction in progress",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossConstructionInProgressGross,AccumulatedImpairmentLossConstructionInProgressGross
"Rental asset, gross",렌탈자산,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_RentalAssetGross,RentalAssetGross
"Government grants, rental asset",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsRentalAssetGross,GovernmentGrantsRentalAssetGross
"Accumulated depreciation, rental asset",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationRentalAssetGross,AccumulatedDepreciationRentalAssetGross
"Accumulated impairment loss, rental asset",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossRentalAssetGross,AccumulatedImpairmentLossRentalAssetGross
"Ships, gross",선박,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_ShipsGross,ShipsGross
"Government grants, ships",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsShipsGross,GovernmentGrantsShipsGross
"Accumulated depreciation, ships",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationShipsGross,AccumulatedDepreciationShipsGross
"Accumulated impairment loss, ships",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossShipsGross,AccumulatedImpairmentLossShipsGross
"Other property, plant and equipment, gross",기타유형자산,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_OtherPropertyPlantAndEquipmentGross,OtherPropertyPlantAndEquipmentGross
"Government grants, other property, plant and equipment",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsOtherPropertyPlantAndEquipmentGross,GovernmentGrantsOtherPropertyPlantAndEquipmentGross
"Accumulated depreciation, other property, plant and equipment",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationOtherPropertyPlantAndEquipmentGross,AccumulatedDepreciationOtherPropertyPlantAndEquipmentGross
"Accumulated Impairment loss, other property, plant and equipment",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossOtherPropertyPlantAndEquipmentGross,AccumulatedImpairmentLossOtherPropertyPlantAndEquipmentGross
Investment property,투자부동산,X,"K-IFRS 1001 문단 54 (2), 
K-IFRS 1040 문단 76,79",ifrs-full_InvestmentProperty,InvestmentProperty
"Government grants, investement property",정부보조금,(X),"K-IFRS 1001 문단 54 (2), 
K-IFRS 1040 문단 76,79",dart_GovernmentGrantsInvestmentProperty,GovernmentGrantsInvestmentProperty
"Accumulated depreciation, investement property",감가상각누계액,(X),"K-IFRS 1001 문단 54 (2), 
K-IFRS 1040 문단 76,79",dart_AccumulatedDepreciationInvestmentProperty,AccumulatedDepreciationInvestmentProperty
"Accumulated impairment loss, investement property",손상차손누계액,(X),"K-IFRS 1001 문단 54 (2), 
K-IFRS 1040 문단 76,79",dart_AccumulatedImpairmentLossInvestmentProperty,AccumulatedImpairmentLossInvestmentProperty
"Goodwill, gross",영업권,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1036 문단 134 (1), 135 (1) ",dart_GoodwillGross,GoodwillGross
"Accumulated impairment loss, goodwill",손상차손누계액,(X),K-IFRS 1038 문단 74,dart_AccumulatedImpairmentLossGoodwillGross,AccumulatedImpairmentLossGoodwillGross
Intangible assets other than goodwill,영업권 이외의 무형자산,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118, ",ifrs-full_IntangibleAssetsOtherThanGoodwill,IntangibleAssetsOtherThanGoodwill
"Brand names, gross",브랜드명,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_BrandNamesGross,BrandNamesGross
"Government grants, brand names",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsBrandNamesGross,GovernmentGrantsBrandNamesGross
"Accumulated depreciation, brand names",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationBrandNamesGross,AccumulatedDepreciationBrandNamesGross
"Accumulated impairment loss, brand names",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossBrandNamesGross,AccumulatedImpairmentLossBrandNamesGross
"Intangible exploration and evaluation assets, gross",무형탐사평가자산,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_IntangibleExplorationAndEvaluationAssetsGross,IntangibleExplorationAndEvaluationAssetsGross
"Government grants, intangible exploration and evaluation assets",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsIntangibleExplorationAndEvaluationAssetsGross,GovernmentGrantsIntangibleExplorationAndEvaluationAssetsGross
"Accumulated depreciation, intangible exploration and evaluation assets",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationIntangibleExplorationAndEvaluationAssetsGross,AccumulatedDepreciationIntangibleExplorationAndEvaluationAssetsGross
"Accumulated impairment loss, intangible exploration and evaluation assets",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossIntangibleExplorationAndEvaluationAssetsGross,AccumulatedImpairmentLossIntangibleExplorationAndEvaluationAssetsGross
"Mastheads and publishing titles, gross",제호와 출판표제,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_MastheadsAndPublishingTitlesGross,MastheadsAndPublishingTitlesGross
"Government grants, mastheads and publishing titles",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsMastheadsAndPublishingTitlesGross,GovernmentGrantsMastheadsAndPublishingTitlesGross
"Accumulated depreciation, mastheads and publishing titles",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationMastheadsAndPublishingTitlesGross,AccumulatedDepreciationMastheadsAndPublishingTitlesGross
"Accumulated impairment loss, mastheads and publishing titles",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossMastheadsAndPublishingTitlesGross,AccumulatedImpairmentLossMastheadsAndPublishingTitlesGross
"Computer software, gross",컴퓨터소프트웨어,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_ComputerSoftwareGross,ComputerSoftwareGross
"Government grants, computer software",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsComputerSoftwareGross,GovernmentGrantsComputerSoftwareGross
"Accumulated depreciation, computer software",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationComputerSoftwareGross,AccumulatedDepreciationComputerSoftwareGross
"Accumulated impairment loss, computer software",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossComputerSoftwareGross,AccumulatedImpairmentLossComputerSoftwareGross
"Licences and franchises, gross",라이선스와 프랜차이즈,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_LicencesAndFranchisesGross,LicencesAndFranchisesGross
"Government grants, licences and franchises",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsLicencesAndFranchisesGross,GovernmentGrantsLicencesAndFranchisesGross
"Accumulated depreciation, licences and franchises",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationLicencesAndFranchisesGross,AccumulatedDepreciationLicencesAndFranchisesGross
"Accumulated impairment loss, licences and franchises",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossLicencesAndFranchisesGross,AccumulatedImpairmentLossLicencesAndFranchisesGross
"Copyrights, patents and other industrial property rights, service and operating rights, gross","저작권, 특허권, 기타 산업재산권, 용역운영권",X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_CopyrightsPatentsAndOtherIndustrialPropertyRightsServiceAndOperatingRightsGross,CopyrightsPatentsAndOtherIndustrialPropertyRightsServiceAndOperatingRightsGross
"Government grants, copyrights, patents and other industrial property rights, service and operating rights",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsCopyrightsPatentsAndOtherIndustrialPropertyRightsServiceAndOperatingRightsGross,GovernmentGrantsCopyrightsPatentsAndOtherIndustrialPropertyRightsServiceAndOperatingRightsGross
"Accumulated depreciation, copyrights patents and other industrial property rights service and operating rights",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationCopyrightsPatentsAndOtherIndustrialPropertyRightsServiceAndOperatingRightsGross,AccumulatedDepreciationCopyrightsPatentsAndOtherIndustrialPropertyRightsServiceAndOperatingRightsGross
"Accumulated impairment loss, copyrights patents and other industrial property rights service and operating rights",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossCopyrightsPatentsAndOtherIndustrialPropertyRightsServiceAndOperatingRightsGross,AccumulatedImpairmentLossCopyrightsPatentsAndOtherIndustrialPropertyRightsServiceAndOperatingRightsGross
"Recipes, formulae, models, designs and prototypes, gross","조리법, 공식, 모형, 설계 및 시제품",X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_RecipesFormulaeModelsDesignsAndPrototypesGross,RecipesFormulaeModelsDesignsAndPrototypesGross
"Government grants, recipes, formulae, models, designs and prototypes",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsRecipesFormulaeModelsDesignsAndPrototypesGross,GovernmentGrantsRecipesFormulaeModelsDesignsAndPrototypesGross
"Accumulated depreciation, recipes formulae models designs and prototypes",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationRecipesFormulaeModelsDesignsAndPrototypesGross,AccumulatedDepreciationRecipesFormulaeModelsDesignsAndPrototypesGross
"Accumulated impairment loss, recipes formulae models designs and prototypes",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossRecipesFormulaeModelsDesignsAndPrototypesGross,AccumulatedImpairmentLossRecipesFormulaeModelsDesignsAndPrototypesGross
"Utility model rights, gross",실용신안권,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_UtilityModelRightsGross,UtilityModelRightsGross
"Government grants, utility model rights",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsUtilityModelRightsGross,GovernmentGrantsUtilityModelRightsGross
Accumulated depreciation utility model rights,감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationUtilityModelRightsGross,AccumulatedDepreciationUtilityModelRightsGross
"Accumulated impairment loss, utility model rights",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossUtilityModelRightsGross,AccumulatedImpairmentLossUtilityModelRightsGross
Telex and telephone subscription rights,전신전화가입권,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_TelexAndTelephoneSubscriptionRights,TelexAndTelephoneSubscriptionRights
"Government grants, telex and telephone subscription rights",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsTelexAndTelephoneSubscriptionRights,GovernmentGrantsTelexAndTelephoneSubscriptionRights
"Accumulated depreciation, telex and telephone subscription rights",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationTelexAndTelephoneSubscriptionRights,AccumulatedDepreciationTelexAndTelephoneSubscriptionRights
"Accumulated impairment loss, telex and telephone subscription rights",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossTelexAndTelephoneSubscriptionRights,AccumulatedImpairmentLossTelexAndTelephoneSubscriptionRights
Finished program,완성프로그램,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_FinishedProgramGross,FinishedProgramGross
"Government grants, finished program",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsFinishedProgramGross,GovernmentGrantsFinishedProgramGross
"Accumulated depreciation, finished program",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationFinishedProgramGross,AccumulatedDepreciationFinishedProgramGross
"Accumulated impairment loss, finished program",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossFinishedProgramGross,AccumulatedImpairmentLossFinishedProgramGross
"Unfinished program, gross",미완성프로그램,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_UnfinishedProgramGross,UnfinishedProgramGross
"Government grants, unfinished program",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsUnfinishedProgramGross,GovernmentGrantsUnfinishedProgramGross
"Accumulated depreciation, unfinished program",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationUnfinishedProgramGross,AccumulatedDepreciationUnfinishedProgramGross
"Accumulated impairment loss, unfinished program",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossUnfinishedProgramGross,AccumulatedImpairmentLossUnfinishedProgramGross
Usufruct contribution asset,사용수익기부자산,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_UsufructContributionAssetGross,UsufructContributionAssetGross
"Government grants, usufruct contribution asset",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsUsufructContributionAssetGross,GovernmentGrantsUsufructContributionAssetGross
"Accumulated depreciation, usufruct contribution asset",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationUsufructContributionAssetGross,AccumulatedDepreciationUsufructContributionAssetGross
"Accumulated impairment loss, usufruct contribution asset",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossUsufructContributionAssetGross,AccumulatedImpairmentLossUsufructContributionAssetGross
"Electronic automation development, gross",전산자동화개발,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_ElectronicAutomationDevelopmentGross,ElectronicAutomationDevelopmentGross
"Government grants, electronic automation development",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsElectronicAutomationDevelopmentGross,GovernmentGrantsElectronicAutomationDevelopmentGross
"Accumulated depreciation, electronic automation development",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationElectronicAutomationDevelopmentGross,AccumulatedDepreciationElectronicAutomationDevelopmentGross
"Accumulated impairment loss, electronic automation development",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossElectronicAutomationDevelopmentGross,AccumulatedImpairmentLossElectronicAutomationDevelopmentGross
"Land right, gross",차지권,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_LandRightGross,LandRightGross
"Government grants, land right",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsLandRightGross,GovernmentGrantsLandRightGross
"Accumulated depreciation, land right",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationLandRightGross,AccumulatedDepreciationLandRightGross
"Accumulated impairment loss, land right",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossLandRightGross,AccumulatedImpairmentLossLandRightGross
"Mining rights, gross",채굴권,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_MiningRightsGross,MiningRightsGross
"Government grants, mining rights",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsMiningRightsGross,GovernmentGrantsMiningRightsGross
"Accumulated depreciation, mining rights",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationMiningRightsGross,AccumulatedDepreciationMiningRightsGross
"Accumulated impairment loss, mining rights",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossMiningRightsGross,AccumulatedImpairmentLossMiningRightsGross
"Land use right, gross",토지사용권,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_LandUseRightGross,LandUseRightGross
"Government grants, land use right",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsLandUseRightGross,GovernmentGrantsLandUseRightGross
"Accumulated depreciation, land use right",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationLandUseRightGross,AccumulatedDepreciationLandUseRightGross
"Accumulated impairment loss, land use right",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossLandUseRightGross,AccumulatedImpairmentLossLandUseRightGross
"Intangible assets under development, gross",개발 중인 무형자산,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_IntangibleAssetsUnderDevelopmentGross,IntangibleAssetsUnderDevelopmentGross
"Government grants, intangible assets under development",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsIntangibleAssetsUnderDevelopmentGross,GovernmentGrantsIntangibleAssetsUnderDevelopmentGross
"Accumulated impairment loss, intangible assets under development",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossIntangibleAssetsUnderDevelopmentGross,AccumulatedImpairmentLossIntangibleAssetsUnderDevelopmentGross
"Non current emission right, gross",비유동배출권,X,일반기업회계기준 33.13,dart_NonCurrentEmissionRightGross,NonCurrentEmissionRightGross
"Government grants, non current emission right",정부보조금,(X),일반기업회계기준 17.5,dart_GovernmentGrantsNonCurrentEmissionRightGross,GovernmentGrantsNonCurrentEmissionRightGross
"Accumulated impairment loss, non current emission right",손상차손누계액,(X),일반기업회계기준 33.5,dart_AccumulatedImpairmentLossNonCurrentEmissionRightGross,AccumulatedImpairmentLossNonCurrentEmissionRightGross
"Other intangible assets, gross",기타무형자산,X,"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118,",dart_OtherIntangibleAssetsGross,OtherIntangibleAssetsGross
"Government grants, other intangible assets",정부보조금,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 122 (4)",dart_GovernmentGrantsOtherIntangibleAssetsGross,GovernmentGrantsOtherIntangibleAssetsGross
"Accumulated depreciation, other intangible assets",감가상각누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedDepreciationOtherIntangibleAssetsGross,AccumulatedDepreciationOtherIntangibleAssetsGross
"Accumulated impairment loss, other intangible assets",손상차손누계액,(X),"K-IFRS 1001 문단 54 (3), 
K-IFRS 1038 문단 118",dart_AccumulatedImpairmentLossOtherIntangibleAssetsGross,AccumulatedImpairmentLossOtherIntangibleAssetsGross
Other non-current financial assets,기타비유동금융자산,X,"K-IFRS 1001 문단 54 (4), 
K-IFRS 1001 문단 60, ",ifrs-full_OtherNoncurrentFinancialAssets,OtherNoncurrentFinancialAssets
Non-current available-for-sale financial assets,비유동매도가능금융자산,X,"K-IFRS 1001 문단 54 (4), 
K-IFRS 1001 문단 60, ",dart_NonCurrentAvailableForSaleFinancialAssets,NonCurrentAvailableForSaleFinancialAssets
